,total,black,total,hispanic,median income,B25003_002E,B25003_003E,county,hs,somecollege,bach
"Block Group 2, Census Tract 7181, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:718100> block group:2",841,2,841,8,71154,256,52,Worcester County,156,147,272
"Block Group 2, Census Tract 7283, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:728300> block group:2",2183,108,2183,68,85000,591,245,Worcester County,372,443,793
"Block Group 1, Census Tract 7283, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:728300> block group:1",1602,0,1602,19,102143,570,12,Worcester County,135,249,694
"Block Group 1, Census Tract 7311.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731102> block group:1",539,60,539,0,-666666666,145,121,Worcester County,151,80,240
"Block Group 3, Census Tract 7311.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731102> block group:3",915,81,915,85,101250,198,144,Worcester County,75,263,371
"Block Group 2, Census Tract 7313, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731300> block group:2",1211,368,1211,488,40221,62,336,Worcester County,493,156,103
"Block Group 1, Census Tract 7313, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731300> block group:1",1454,270,1454,671,25750,33,552,Worcester County,511,212,162
"Block Group 4, Census Tract 7315, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731500> block group:4",371,83,371,86,37778,6,158,Worcester County,172,34,62
"Block Group 3, Census Tract 7092.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:709202> block group:3",974,44,974,408,37222,134,254,Worcester County,302,143,155
"Block Group 2, Census Tract 7092.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:709202> block group:2",3043,213,3043,930,40714,757,627,Worcester County,1097,755,414
"Block Group 1, Census Tract 7097.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:709702> block group:1",1524,80,1524,184,72371,387,160,Worcester County,386,240,445
"Block Group 2, Census Tract 7162, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:716200> block group:2",1126,64,1126,240,54792,236,209,Worcester County,348,243,194
"Block Group 1, Census Tract 7162, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:716200> block group:1",1517,8,1517,290,54464,219,376,Worcester County,417,333,224
"Block Group 2, Census Tract 7163, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:716300> block group:2",1248,36,1248,142,54318,183,451,Worcester County,271,242,378
"Block Group 1, Census Tract 7163, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:716300> block group:1",698,10,698,127,100000,169,95,Worcester County,223,136,127
"Block Group 5, Census Tract 7262, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:726200> block group:5",1564,66,1564,18,43097,230,545,Worcester County,853,283,99
"Block Group 2, Census Tract 7262, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:726200> block group:2",2007,40,2007,166,64954,516,166,Worcester County,688,658,225
"Block Group 4, Census Tract 7262, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:726200> block group:4",728,0,728,28,40966,163,174,Worcester County,283,111,105
"Block Group 1, Census Tract 7281, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:728100> block group:1",1871,0,1871,8,92347,715,7,Worcester County,379,256,742
"Block Group 1, Census Tract 7292, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:729200> block group:1",781,0,781,87,75714,277,33,Worcester County,154,229,248
"Block Group 3, Census Tract 7292, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:729200> block group:3",330,0,330,11,77679,122,37,Worcester County,54,108,96
"Block Group 1, Census Tract 7301, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730100> block group:1",638,0,638,73,76765,252,84,Worcester County,156,128,242
"Block Group 3, Census Tract 7301, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730100> block group:3",1046,294,1046,25,101250,254,90,Worcester County,166,138,369
"Block Group 2, Census Tract 7301, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730100> block group:2",708,0,708,81,51354,220,123,Worcester County,196,95,231
"Block Group 4, Census Tract 7301, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730100> block group:4",1490,316,1490,169,88750,513,46,Worcester County,266,453,393
"Block Group 3, Census Tract 7315, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731500> block group:3",1232,95,1232,788,47287,125,290,Worcester County,674,103,68
"Block Group 1, Census Tract 7315, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:731500> block group:1",540,16,540,439,-666666666,14,250,Worcester County,288,91,0
"Block Group 2, Census Tract 7461, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:746100> block group:2",1553,6,1553,6,104342,391,99,Worcester County,348,126,563
"Block Group 1, Census Tract 7461, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:746100> block group:1",1856,3,1856,52,102009,558,110,Worcester County,546,397,341
"Block Group 2, Census Tract 7324, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:732400> block group:2",1734,336,1734,716,56250,136,375,Worcester County,632,305,154
"Block Group 1, Census Tract 7329.02, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:732902> block group:1",2340,138,2340,248,-666666666,8,0,Worcester County,11,0,22
"Block Group 1, Census Tract 7324, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:732400> block group:1",1345,155,1345,512,36364,114,318,Worcester County,325,415,41
"Block Group 5, Census Tract 7324, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:732400> block group:5",791,146,791,507,29865,9,293,Worcester County,400,105,0
"Block Group 3, Census Tract 7324, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:732400> block group:3",980,35,980,732,-666666666,95,191,Worcester County,363,282,84
"Block Group 3, Census Tract 7392, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:739200> block group:3",2284,370,2284,240,70857,370,478,Worcester County,617,366,512
"Block Group 4, Census Tract 7392, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:739200> block group:4",1738,0,1738,0,95321,443,282,Worcester County,365,389,564
"Block Group 2, Census Tract 7110, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:711000> block group:2",861,4,861,270,71667,130,108,Worcester County,195,157,93
"Block Group 3, Census Tract 7110, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:711000> block group:3",956,141,956,215,-666666666,93,237,Worcester County,259,107,61
"Block Group 1, Census Tract 7110, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:711000> block group:1",1244,57,1244,83,70766,305,156,Worcester County,347,284,230
"Block Group 1, Census Tract 7001, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:700100> block group:1",1081,16,1081,14,113649,374,26,Worcester County,307,224,290
"Block Group 5, Census Tract 7001, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:700100> block group:5",2046,0,2046,0,107500,537,105,Worcester County,315,497,436
"Block Group 3, Census Tract 7001, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:700100> block group:3",1312,43,1312,46,78031,365,0,Worcester County,137,289,489
"Block Group 4, Census Tract 7001, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:700100> block group:4",562,0,562,0,97530,176,17,Worcester County,97,213,82
"Block Group 2, Census Tract 7001, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:700100> block group:2",1252,0,1252,21,95833,325,83,Worcester County,342,146,312
"Block Group 2, Census Tract 7022, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:702200> block group:2",1160,3,1160,0,73750,405,82,Worcester County,452,305,187
"Block Group 1, Census Tract 7022, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:702200> block group:1",2116,17,2116,83,81429,576,156,Worcester County,696,447,278
"Block Group 1, Census Tract 7042, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:704200> block group:1",1702,17,1702,11,81250,549,58,Worcester County,586,420,264
"Block Group 2, Census Tract 7042, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:704200> block group:2",1269,4,1269,35,68405,417,78,Worcester County,318,309,327
"Block Group 1, Census Tract 7107, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:710700> block group:1",860,7,860,441,11915,50,321,Worcester County,474,66,31
"Block Group 4, Census Tract 7081, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:708100> block group:4",2413,0,2413,107,98889,683,99,Worcester County,447,498,695
"Block Group 1, Census Tract 7081, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:708100> block group:1",1649,15,1649,94,84965,518,87,Worcester County,329,375,445
"Block Group 2, Census Tract 7107, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:710700> block group:2",894,32,894,270,19550,29,474,Worcester County,390,164,100
"Block Group 2, Census Tract 7251, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:725100> block group:2",964,26,964,0,64688,212,161,Worcester County,362,146,148
"Block Group 4, Census Tract 7251, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:725100> block group:4",627,0,627,21,81818,127,131,Worcester County,263,89,75
"Block Group 5, Census Tract 7251, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:725100> block group:5",1556,0,1556,0,95096,534,59,Worcester County,599,327,293
"Block Group 2, Census Tract 7111, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:711100> block group:2",2303,38,2303,28,88988,713,72,Worcester County,588,495,519
"Block Group 2, Census Tract 7191, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:719100> block group:2",2275,0,2275,314,114559,618,106,Worcester County,398,404,786
"Block Group 1, Census Tract 7191, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:719100> block group:1",3199,19,3199,57,104911,1020,138,Worcester County,628,532,1171
"Block Group 1, Census Tract 7261, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:726100> block group:1",2156,0,2156,91,105171,734,48,Worcester County,417,463,674
"Block Group 4, Census Tract 7261, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:726100> block group:4",854,0,854,58,104667,312,16,Worcester County,273,203,147
"Block Group 5, Census Tract 7261, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:726100> block group:5",958,12,958,38,102723,298,37,Worcester County,199,261,259
"Block Group 3, Census Tract 7261, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:726100> block group:3",1151,0,1151,0,82857,386,44,Worcester County,508,165,207
"Block Group 3, Census Tract 7302, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730200> block group:3",640,40,640,0,61429,178,70,Worcester County,275,120,108
"Block Group 5, Census Tract 7302, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730200> block group:5",840,16,840,22,86384,304,25,Worcester County,169,134,316
"Block Group 1, Census Tract 7302, Worcester County, Massachusetts: Summary level: 150, state:25> county:027> tract:730200> block group:1",925,2,925,20,98684,319,73,Worcester County,157,130,347
